Business Name,City,Rating,Reviews Count,Phone Number,Email,Website,Full Address,Google Maps Link
Vishal Cyber World (Tour & Travels),Gaya,3.7,,+91 90061 69000,,Not Available,"In Front Of Sanni Temple, Station Road, Gaya, Bihar 823001, India",https://www.google.com/maps/place/Vishal+Cyber+World+%28Tour+%26+Travels%29/data=!4m7!3m6!1s0x39f32a6afe6d7513:0x97c55f9262b46181!8m2!3d24.7998636!4d85.0002912!16s%2Fg%2F11c5t29kz6!19sChIJE3Vt_moq8zkRgWG0YpJfxZc?authuser=0&hl=en&rclk=1
INTERNET POINT THE CYBER CAFE,Gaya,4.1,,+91 87575 24222,,Not Available,"Under, Mirza Ghalib College, beside Of UCO Bank, White House Compound, Judges Colony, Gaya, Bihar 823001, India",https://www.google.com/maps/place/INTERNET+POINT+THE+CYBER+CAFE/data=!4m7!3m6!1s0x39f32b2341dd8d89:0x4d021ea1c8c6db51!8m2!3d24.7906101!4d84.9933963!16s%2Fg%2F11rdb792cp!19sChIJiY3dQSMr8zkRUdvGyKEeAk0?authuser=0&hl=en&rclk=1
SMART CYBER CAFE,Gaya,5.0,,+91 77393 22324,,Not Available,"MANDRAJ BIGHA CHHOTKI, Delha, Gaya, Bihar 823002, India",https://www.google.com/maps/place/SMART+CYBER+CAFE/data=!4m7!3m6!1s0x39f32b824410af65:0xd32c9932ee21d4a6!8m2!3d24.8006078!4d84.9970901!16s%2Fg%2F11vb_s2f_b!19sChIJZa8QRIIr8zkRptQh7jKZLNM?authuser=0&hl=en&rclk=1
Keshav Cyber Cafe,Gaya,5.0,,+91 96504 04967,,https://business.google.com/posts/l/12397686737288160560,"25, Ramsagar Rd, Ramna, Gaya, Bihar 823001, India",https://www.google.com/maps/place/Keshav+Cyber+Cafe/data=!4m7!3m6!1s0x39f32be1909e9865:0xa70274b60cdeaf1f!8m2!3d24.7881806!4d85.0064154!16s%2Fg%2F11t6j1xwhr!19sChIJZZiekOEr8zkRH6_eDLZ0Aqc?authuser=0&hl=en&rclk=1
RAJ CYBER CAFE,Gaya,5.0,,+91 75448 76576,,Not Available,"Ghughari Tand, Gaya, Bihar 823001, India",https://www.google.com/maps/place/RAJ+CYBER+CAFE/data=!4m7!3m6!1s0x39f32b8fdca8381d:0x1fbffd9e06580b1e!8m2!3d24.7706898!4d85.0083415!16s%2Fg%2F11rwqv3mbz!19sChIJHTio3I8r8zkRHgtYBp79vx8?authuser=0&hl=en&rclk=1
10zone internet world,Gaya,4.6,,Not Available,,Not Available,"krishnapuri, Katari Hill, Gaya, Bihar 823001, India",https://www.google.com/maps/place/10zone+internet+world/data=!4m7!3m6!1s0x39f32bea768eb2fb:0xa07600074444a6a5!8m2!3d24.7951488!4d84.9777819!16s%2Fg%2F11fl7vwvy_!19sChIJ-7KOduor8zkRpaZERAcAdqA?authuser=0&hl=en&rclk=1
SMS SANVI MAGADHI STUDIO & CAFE,Gaya,5.0,,+91 83759 72003,,https://ruconnect.in/,"MAGADH SWEETS, CHANDAUTI MORE, Rd Number 7, near MAHAVIR MANDIR, Gaya, Bihar 823001, India",https://www.google.com/maps/place/SMS+SANVI+MAGADHI+STUDIO+%26+CAFE/data=!4m7!3m6!1s0x39f32b173bbf2583:0x9ad17e3fdf68ce2b!8m2!3d24.7759712!4d84.9717208!16s%2Fg%2F11w9h5bjqs!19sChIJgyW_Oxcr8zkRK85o3z9-0Zo?authuser=0&hl=en&rclk=1
Nextgen Cyber Zone,Gaya,5.0,,Not Available,,Not Available,"QXHG+Q6R, Shastri Nagar, Gaya, Bihar 823001, India",https://www.google.com/maps/place/Nextgen+Cyber+Zone/data=!4m7!3m6!1s0x39f32b4367b4c06d:0x5432c42b5497c4d2!8m2!3d24.7794923!4d84.9755359!16s%2Fg%2F11l6g239ng!19sChIJbcC0Z0Mr8zkR0sSXVCvEMlQ?authuser=0&hl=en&rclk=1
aryan cyber cafe maranpur,Gaya,3.7,,+91 73669 25505,,Not Available,"Maranpur, Gaya, Bihar 823001, India",https://www.google.com/maps/place/aryan+cyber+cafe+maranpur/data=!4m7!3m6!1s0x39f32b6f8595ba8b:0x1d7b46077402e953!8m2!3d24.7736931!4d85.0031429!16s%2Fg%2F11fkpshz04!19sChIJi7qVhW8r8zkRU-kCdAdGex0?authuser=0&hl=en&rclk=1
Perfect Cyber Cafe,Gaya,4.0,,Not Available,,Not Available,"Bypass Road Bypass Road, Maranpur, Gaya, Bihar 823001, India",https://www.google.com/maps/place/Perfect+Cyber+Cafe/data=!4m7!3m6!1s0x39f32bc46087e31b:0x89b91bd213d9833a!8m2!3d24.7724338!4d85.0042757!16s%2Fg%2F11ss8dk2_6!19sChIJG-OHYMQr8zkROoPZE9IbuYk?authuser=0&hl=en&rclk=1
Sunny Tender and Internet Cafe,Gaya,4.0,,+91 74820 26192,,Not Available,"Bypass, Gaya-Dobhi Rd, Maranpur, Gaya, Bihar 823001, India",https://www.google.com/maps/place/Sunny+Tender+and+Internet+Cafe/data=!4m7!3m6!1s0x39f32be7510f2d05:0xde5a2ffde02b2438!8m2!3d24.7710849!4d85.0032325!16s%2Fg%2F11y7603s6k!19sChIJBS0PUecr8zkROCQr4P0vWt4?authuser=0&hl=en&rclk=1
Rajesh internet cafe & mobile Shop,Gaya,4.9,,+91 82109 92753,,Not Available,"R277+RGC, Chhotki nawada gautam bhudh para medcal, K P Colony, Gaya, Bihar 823002, India",https://www.google.com/maps/place/Rajesh+internet+cafe+%26+mobile+Shop/data=!4m7!3m6!1s0x39f32b921fea66e3:0x97526dae31dd587f!8m2!3d24.8145572!4d85.0137736!16s%2Fg%2F11sgczr43q!19sChIJ42bqH5Ir8zkRf1jdMa5tUpc?authuser=0&hl=en&rclk=1
Gaya Net,Gaya,4.0,,Not Available,,Not Available,"211, Bisar Talab, New Area, Gaya, Bihar 823001, India",https://www.google.com/maps/place/Gaya+Net/data=!4m7!3m6!1s0x39f32bdc7eb835cb:0xfbb6a8e48b52da68!8m2!3d24.7883557!4d85.0043312!16s%2Fg%2F11qg6jd4_2!19sChIJyzW4ftwr8zkRaNpSi-Sotvs?authuser=0&hl=en&rclk=1
Sri Ganpati Cyber Cafe online centre,Gaya,5.0,,Not Available,,Not Available,"- 5no gate, Paharpur, Gaya, Qazi chak, Bihar 823001, India",https://www.google.com/maps/place/Sri+Ganpati+Cyber+Cafe+online+centre/data=!4m7!3m6!1s0x39f32b13ae585d5b:0x3e295b46b546a8c4!8m2!3d24.7602684!4d84.9693005!16s%2Fg%2F11kqs8sxwz!19sChIJW11YrhMr8zkRxKhGtUZbKT4?authuser=0&hl=en&rclk=1
Insan mahto cyber cafe,Gaya,5.0,,+91 74630 76847,,Not Available,"Jai hind public school field, Rd Number 6, Shastri Nagar West, Gaya, Bihar 823001, India",https://www.google.com/maps/place/Insan+mahto+cyber+cafe/data=!4m7!3m6!1s0x39f32bba03f8e0bb:0x5da7d1ca6b2cb184!8m2!3d24.7818199!4d84.9739217!16s%2Fg%2F11xvm585qg!19sChIJu-D4A7or8zkRhLEsa8rRp10?authuser=0&hl=en&rclk=1
PUJA COMMUNICATION AND CYBER CAFE,Gaya,4.5,,+91 94300 29750,,Not Available,"NEW GODOWN, Gautam Buddha Rd, near PUNJABI COLONY, near LAL NURSING HOME, New Godwon, Gol Bagicha, Gaya, Bihar 823001, India",https://www.google.com/maps/place/PUJA+COMMUNICATION+AND+CYBER+CAFE/data=!4m7!3m6!1s0x39f32b5bf4a9372d:0xfbeba1657887b422!8m2!3d24.8037446!4d85.0096007!16s%2Fg%2F11smv0_2cl!19sChIJLTep9Fsr8zkRIrSHeGWh6_s?authuser=0&hl=en&rclk=1
Bharat Digital Xerox Services,Gaya,5.0,,+91 91109 43500,,Not Available,"Bharat Digital Cafe, 01, Pant Nagar More, near Maa Mangla, ITI, Ghughari Tand, Gaya, Bihar 823001, India",https://www.google.com/maps/place/Bharat+Digital+Xerox+Services/data=!4m7!3m6!1s0x39f32bcc7af7e249:0xeb310970d62ef599!8m2!3d24.7659866!4d85.0048601!16s%2Fg%2F11h0b5jv9q!19sChIJSeL3eswr8zkRmfUu1nAJMes?authuser=0&hl=en&rclk=1
SURYA CYBER CAFE,Gaya,4.0,,Not Available,,Not Available,"Vijay Laddu Bhandar, Rd Number 4, near Prakash Public school, Chhotki, Sangam Chowk, Delha, Gaya, Bihar 823002, India",https://www.google.com/maps/place/SURYA+CYBER+CAFE/data=!4m7!3m6!1s0x39f32ba01d670a9d:0xf2d97e15ce271bbc!8m2!3d24.804237!4d84.9924659!16s%2Fg%2F11vbt7862q!19sChIJnQpnHaAr8zkRvBsnzhV-2fI?authuser=0&hl=en&rclk=1
Aashirwad Cyber Cafe & Videography,Gaya,4.6,,Not Available,,Not Available,"Rd Number 4, Kishori Mohan Complex, Mahavir colony, Gaya, Bihar 823001, India",https://www.google.com/maps/place/Aashirwad+Cyber+Cafe+%26+Videography/data=!4m7!3m6!1s0x39f32bb5df7c19f7:0xb90bedc9d6182137!8m2!3d24.7770954!4d84.9725392!16s%2Fg%2F11h4zqvh7f!19sChIJ9xl837Ur8zkRNyEY1sntC7k?authuser=0&hl=en&rclk=1
Welcome Magadh Cyber Cafe,Gaya,5.0,,+91 88734 56950,,Not Available,"Q2F2+792 Devi asthan, Maranpur, Naili, Gaya, Bihar 823001, India",https://www.google.com/maps/place/Welcome+Magadh+Cyber+Cafe/data=!4m7!3m6!1s0x39f32bb52fe8e801:0x8ad15dbf4abf3641!8m2!3d24.7731369!4d85.0008854!16s%2Fg%2F11sbr0j1pz!19sChIJAejoL7Ur8zkRQTa_Sr9d0Yo?authuser=0&hl=en&rclk=1
The Internet Villa,Gaya,5.0,,+91 95040 46040,,Not Available,"5, New Godown, Murarpur, Gaya, Bihar 823001, India",https://www.google.com/maps/place/The+Internet+Villa/data=!4m7!3m6!1s0x39f32b7d3b473705:0x1d2ad3d0e6c157cb!8m2!3d24.8035246!4d85.0124839!16s%2Fg%2F11sjcd377f!19sChIJBTdHO30r8zkRy1fB5tDTKh0?authuser=0&hl=en&rclk=1
Magadh Cyber Cafe,Gaya,5.0,,+91 88103 09379,,Not Available,"904, Wajirganj Main Road, near Block Office, Durga Bari, Gaya, Bihar 823001, India",https://www.google.com/maps/place/Magadh+Cyber+Cafe/data=!4m7!3m6!1s0x39f32be7ab730edf:0xe1b3aa305ccfb4ae!8m2!3d24.7912524!4d85.001075!16s%2Fg%2F11vxjsjyd0!19sChIJ3w5zq-cr8zkRrrTPXDCqs-E?authuser=0&hl=en&rclk=1
Golden Communication & Cyber Cafe,Gaya,5.0,,+91 84099 56221,,Not Available,"R237+GH2, Tutwari Road, near Vaishnavi Hospital, Panchaiti Akhara, Gaya, Inidia 823001, India",https://www.google.com/maps/place/Golden+Communication+%26+Cyber+Cafe/data=!4m7!3m6!1s0x39f32bdcdef1860f:0xcba9fa5d151b8339!8m2!3d24.8037582!4d85.0138905!16s%2Fg%2F11rhx0msd1!19sChIJD4bx3twr8zkROYMbFV36qcs?authuser=0&hl=en&rclk=1
DREAMLAND CYBER CAFE,Gaya,3.5,,+91 91224 96827,,Not Available,"234, Dandibag Main Rd, Near Suzuki Service Center, Ghughari Tand, Gaya, Bihar 823001, India",https://www.google.com/maps/place/DREAMLAND+CYBER+CAFE/data=!4m7!3m6!1s0x39f32b0947d9916d:0xd00bd5d3ebba981e!8m2!3d24.7712137!4d85.0080664!16s%2Fg%2F11h55f1v0f!19sChIJbZHZRwkr8zkRHpi669PVC9A?authuser=0&hl=en&rclk=1
Rk Enterprises &Cyber Cafe,Gaya,4.4,,+91 85215 50282,,Not Available,"9, Kharkhura Main Rd, Tulsi Colony, Tel Bigha, Gaya, Bihar 823002, India",https://www.google.com/maps/place/Rk+Enterprises+%26Cyber+Cafe/data=!4m7!3m6!1s0x39f32b6cd8813d5b:0x1ef16cf53a31c728!8m2!3d24.8086955!4d84.9972584!16s%2Fg%2F11jyx0f_5d!19sChIJWz2B2Gwr8zkRKMcxOvVs8R4?authuser=0&hl=en&rclk=1
I Way Cyber Zone,Gaya,4.7,,+91 95460 49076,,Not Available,"Infront Of Shani Mandir, Station Rd, Gol Bagicha, Gaya, Bihar 823002, India",https://www.google.com/maps/place/I+Way+Cyber+Zone/data=!4m7!3m6!1s0x39f32a6afdceb159:0x848be13886ab125a!8m2!3d24.8000414!4d85.0002652!16s%2Fg%2F11g7ybmw3p!19sChIJWbHO_Woq8zkRWhKrhjjhi4Q?authuser=0&hl=en&rclk=1
Nand cyber cafe,Gaya,4.7,,Not Available,,Not Available,"QXM9+7RV, near Chandauti Devi Mandir, Chandauti, Gaya, Bihar 823001, India",https://www.google.com/maps/place/Nand+cyber+cafe/data=!4m7!3m6!1s0x39f32b001c566c3f:0x8bcd3d8db6b91df7!8m2!3d24.7832282!4d84.9695428!16s%2Fg%2F11vq2yf75w!19sChIJP2xWHAAr8zkR9x25to09zYs?authuser=0&hl=en&rclk=1
KCC..Krishana Cyber Cafe,Gaya,5.0,,+91 94312 20368,,Not Available,"block campus, Chandauti block, Chandauti Rd, Gaya, Bihar 823001, India",https://www.google.com/maps/place/KCC..Krishana+Cyber+Cafe/data=!4m7!3m6!1s0x39f32beaa5ca5c15:0x53befe85799a3aff!8m2!3d24.7849843!4d84.9730359!16s%2Fg%2F11v68c78ht!19sChIJFVzKpeor8zkR_zqaeYX-vlM?authuser=0&hl=en&rclk=1
Singh Tour Travels Cyber Cafe,Gaya,4.5,,+91 95464 11021,,http://www.facebook.com/singhtourtravrls,"Gurudwara More, Station Rd, Gol Bagicha, Gaya, Bihar 823002, India",https://www.google.com/maps/place/Singh+Tour+Travels+Cyber+Cafe/data=!4m7!3m6!1s0x39f32be413fb9db1:0x96a575d6b588dcbf!8m2!3d24.8020816!4d85.0004662!16s%2Fg%2F11gxmc269w!19sChIJsZ37E-Qr8zkRv9yItdZ1pZY?authuser=0&hl=en&rclk=1
Siddhivinayak Cyber Cafe & Electronics,Gaya,5.0,,+91 98524 53341,,Not Available,"Baragi More, Bageshwari Rd, Janta Colony Bairagi, Gol Bagicha, Gaya, Bihar 823002, India",https://www.google.com/maps/place/Siddhivinayak+Cyber+Cafe+%26+Electronics/data=!4m7!3m6!1s0x39f32beb197f4979:0x8a1097b02397b5d4!8m2!3d24.8072031!4d85.0049967!16s%2Fg%2F11w3cjrwc2!19sChIJeUl_Gesr8zkR1LWXI7CXEIo?authuser=0&hl=en&rclk=1
SAHEB INTERNET CAFE,Gaya,5.0,,+91 82108 80036,,Not Available,"Gautam Buddha Rd, Durga Bari, Gaya, Bihar 823001, India",https://www.google.com/maps/place/SAHEB+INTERNET+CAFE/data=!4m7!3m6!1s0x39f32be7fb037fc5:0xb42e1a53f6be7879!8m2!3d24.7926926!4d85.0074159!16s%2Fg%2F11sp8tzdk4!19sChIJxX8D--cr8zkReXi-9lMaLrQ?authuser=0&hl=en&rclk=1
Maa Cyber Cafe,Gaya,5.0,,+91 95045 27174,,Not Available,"Shope No. 1, Rajendra Ashram, New Area, Gaya, Bihar 823001, India",https://www.google.com/maps/place/Maa+Cyber+Cafe/data=!4m7!3m6!1s0x39f32bfbbd85629b:0x3f0e1dddbd72bff8!8m2!3d24.7880495!4d85.0050459!16s%2Fg%2F11x8sz4mn_!19sChIJm2KFvfsr8zkR-L9yvd0dDj8?authuser=0&hl=en&rclk=1
Shree Cyber Cafe,Gaya,5.0,,+91 85399 56166,,Not Available,"Gautam Buddha Rd, Near rbisir1, Jaiprakash Nagar, Gaya, Bihar 823001, India",https://www.google.com/maps/place/Shree+Cyber+Cafe/data=!4m7!3m6!1s0x39f32a39b400a947:0x70a033e7bac9e063!8m2!3d24.7874041!4d85.0054595!16s%2Fg%2F11g7y6jscq!19sChIJR6kAtDkq8zkRY-DJuuczoHA?authuser=0&hl=en&rclk=1
Gupta Vasudha Kendra,Gaya,4.7,,+91 85398 88064,,Not Available,"Gali, Ramna Rd, near Shri Digambar Jain Mandir, Makhan Toli, Gaya, Bihar 823001, India",https://www.google.com/maps/place/Gupta+Vasudha+Kendra/data=!4m7!3m6!1s0x39f32b3c5c3c6add:0xce2a91511d8d9d47!8m2!3d24.7948508!4d85.0100867!16s%2Fg%2F11y4zxfs1z!19sChIJ3Wo8XDwr8zkRR52NHVGRKs4?authuser=0&hl=en&rclk=1
Radhika internet cafe,Gaya,3.0,,Not Available,,Not Available,"Katari, Katari Hill, Gaya, Bihar 823001, India",https://www.google.com/maps/place/Radhika+internet+cafe/data=!4m7!3m6!1s0x39f32bf177497adb:0xed398d5fe7afefaf!8m2!3d24.7985383!4d84.9718807!16s%2Fg%2F11svqt5gpr!19sChIJ23pJd_Er8zkRr--v51-NOe0?authuser=0&hl=en&rclk=1
"Digital Spot Zone, Cyber Cafe",Gaya,5.0,,+91 82719 01649,,Not Available,"Joda Masjid Rd, Head Manpur, Gaya, Bihar 823003, India","https://www.google.com/maps/place/Digital+Spot+Zone,+Cyber+Cafe/data=!4m7!3m6!1s0x39f2d744f98b6525:0xbbe1a478f3d829ef!8m2!3d24.8221747!4d85.0294046!16s%2Fg%2F11x72lhbn8!19sChIJJWWL-UTX8jkR7ynY83ik4bs?authuser=0&hl=en&rclk=1"
Shree Govind Cyber Cafe,Gaya,4.5,,+91 79034 90462,,Not Available,"khatkachak bypass road, Magadh, Gaya, Naili, Bihar 823001, India",https://www.google.com/maps/place/Shree+Govind+Cyber+Cafe/data=!4m7!3m6!1s0x39f32b39fbaf4a53:0xed1db0a5a2423455!8m2!3d24.7633735!4d84.9928738!16s%2Fg%2F11vpzc09_x!19sChIJU0qv-zkr8zkRVTRCoqWwHe0?authuser=0&hl=en&rclk=1
